sep=,
time,watts
01/03/2023 00:00,262
01/03/2023 01:00,262
01/03/2023 02:00,288
01/03/2023 03:00,270
01/03/2023 04:00,262
01/03/2023 05:00,270
01/03/2023 06:00,262
01/03/2023 07:00,262
01/03/2023 08:00,264
01/03/2023 09:00,262
01/03/2023 10:00,270
01/03/2023 11:00,262
01/03/2023 12:00,262
01/03/2023 13:00,270
01/03/2023 14:00,270
01/03/2023 15:00,270
01/03/2023 16:00,270
01/03/2023 17:00,270
01/03/2023 18:00,270
01/03/2023 19:00,270
01/03/2023 20:00,262
01/03/2023 21:00,262
01/03/2023 22:00,262
01/03/2023 23:00,262